Date,Close
04/01/2021 16:00:00,43.06
05/01/2021 16:00:00,44.3
06/01/2021 16:00:00,44.21
07/01/2021 16:00:00,46.9
08/01/2021 16:00:00,46.67
11/01/2021 16:00:00,46.5
12/01/2021 16:00:00,46
13/01/2021 16:00:00,46.22
14/01/2021 16:00:00,46.06
15/01/2021 16:00:00,46.82
18/01/2021 16:00:00,45.45
19/01/2021 16:00:00,45.87
20/01/2021 16:00:00,46.3
21/01/2021 16:00:00,47.02
22/01/2021 16:00:00,46.13
25/01/2021 16:00:00,46.62
27/01/2021 16:00:00,45.05
28/01/2021 16:00:00,44.28
29/01/2021 16:00:00,43.56
01/02/2021 16:00:00,44.12
02/02/2021 16:00:00,45.1
03/02/2021 16:00:00,44.13
04/02/2021 16:00:00,43.91
05/02/2021 16:00:00,43.8
08/02/2021 16:00:00,44.84
09/02/2021 16:00:00,44.6
10/02/2021 16:00:00,45.06
11/02/2021 16:00:00,45.48
12/02/2021 16:00:00,44.72
15/02/2021 16:00:00,45.64
16/02/2021 16:00:00,47
17/02/2021 16:00:00,48.6
18/02/2021 16:00:00,48.51
19/02/2021 16:00:00,47.32
22/02/2021 16:00:00,48.9
23/02/2021 16:00:00,50.43
24/02/2021 16:00:00,48.86
25/02/2021 16:00:00,50.45
26/02/2021 16:00:00,49.13
01/03/2021 16:00:00,50.09
02/03/2021 16:00:00,49.13
03/03/2021 16:00:00,50.87
04/03/2021 16:00:00,49.3
05/03/2021 16:00:00,48.23
08/03/2021 16:00:00,49.38
09/03/2021 16:00:00,48.99
10/03/2021 16:00:00,47.6
11/03/2021 16:00:00,46.8
12/03/2021 16:00:00,47.97
15/03/2021 16:00:00,47.88
16/03/2021 16:00:00,46.84
17/03/2021 16:00:00,46.07
18/03/2021 16:00:00,45.69
19/03/2021 16:00:00,44.9
22/03/2021 16:00:00,44.5
23/03/2021 16:00:00,44.95
24/03/2021 16:00:00,44.88
25/03/2021 16:00:00,44.88
26/03/2021 16:00:00,45.07
29/03/2021 16:00:00,45.86
30/03/2021 16:00:00,44.91
31/03/2021 16:00:00,45.3
01/04/2021 16:00:00,45.65
06/04/2021 16:00:00,45.85
07/04/2021 16:00:00,45.88
08/04/2021 16:00:00,47.06
09/04/2021 16:00:00,46.67
12/04/2021 16:00:00,46.18
13/04/2021 16:00:00,45.69
14/04/2021 16:00:00,46.01
15/04/2021 16:00:00,47.33
16/04/2021 16:00:00,47.57
19/04/2021 16:00:00,47.56
20/04/2021 16:00:00,47.45
21/04/2021 16:00:00,47.21
22/04/2021 16:00:00,47.65
23/04/2021 16:00:00,47.56
26/04/2021 16:00:00,47.84
27/04/2021 16:00:00,48.38
28/04/2021 16:00:00,48.22
29/04/2021 16:00:00,48.66
30/04/2021 16:00:00,47.7
03/05/2021 16:00:00,47.03
04/05/2021 16:00:00,48.23
05/05/2021 16:00:00,48.76
06/05/2021 16:00:00,49.8
07/05/2021 16:00:00,50.09
10/05/2021 16:00:00,51.65
11/05/2021 16:00:00,51.28
12/05/2021 16:00:00,51
13/05/2021 16:00:00,50.35
14/05/2021 16:00:00,49.57
17/05/2021 16:00:00,49.6
18/05/2021 16:00:00,50.52
19/05/2021 16:00:00,48.79
20/05/2021 16:00:00,48.28
21/05/2021 16:00:00,47.75
24/05/2021 16:00:00,46.87
25/05/2021 16:00:00,47.48
26/05/2021 16:00:00,46.35
27/05/2021 16:00:00,46.8
28/05/2021 16:00:00,48.16
31/05/2021 16:00:00,47.85
01/06/2021 16:00:00,47.91
02/06/2021 16:00:00,49.39
03/06/2021 16:00:00,49.59
04/06/2021 16:00:00,48.75
07/06/2021 16:00:00,48.85
08/06/2021 16:00:00,48.38
09/06/2021 16:00:00,48.67
10/06/2021 16:00:00,48.3
11/06/2021 16:00:00,48.95
15/06/2021 16:00:00,49.22
16/06/2021 16:00:00,48.37
17/06/2021 16:00:00,47.69
18/06/2021 16:00:00,46.52
21/06/2021 16:00:00,45.61
22/06/2021 16:00:00,46.68
23/06/2021 16:00:00,47.16
24/06/2021 16:00:00,47.6
25/06/2021 16:00:00,47.9
28/06/2021 16:00:00,48.4
29/06/2021 16:00:00,48.06
30/06/2021 16:00:00,48.57
01/07/2021 16:00:00,48.22
02/07/2021 16:00:00,48.55
05/07/2021 16:00:00,48.45
06/07/2021 16:00:00,48.85
07/07/2021 16:00:00,48.8
08/07/2021 16:00:00,49.66
09/07/2021 16:00:00,49.48
12/07/2021 16:00:00,51.05
13/07/2021 16:00:00,50.7
14/07/2021 16:00:00,50.96
15/07/2021 16:00:00,51.53
16/07/2021 16:00:00,51.87
19/07/2021 16:00:00,50.5
20/07/2021 16:00:00,49.24
21/07/2021 16:00:00,49.89
22/07/2021 16:00:00,51.45
23/07/2021 16:00:00,51.27
26/07/2021 16:00:00,51.91
27/07/2021 16:00:00,53.36
28/07/2021 16:00:00,52.47
29/07/2021 16:00:00,53.33
30/07/2021 16:00:00,53.49
02/08/2021 16:00:00,53.7
03/08/2021 16:00:00,52.96
04/08/2021 16:00:00,54.06
05/08/2021 16:00:00,53.14
06/08/2021 16:00:00,52.1
09/08/2021 16:00:00,51.69
10/08/2021 16:00:00,51.76
11/08/2021 16:00:00,52.52
12/08/2021 16:00:00,52.99
13/08/2021 16:00:00,52.81
16/08/2021 16:00:00,52.07
17/08/2021 16:00:00,51.33
18/08/2021 16:00:00,47.7
19/08/2021 16:00:00,44.67
20/08/2021 16:00:00,44.34
23/08/2021 16:00:00,44.46
24/08/2021 16:00:00,44.92
25/08/2021 16:00:00,45.48
26/08/2021 16:00:00,44.95
27/08/2021 16:00:00,44.7
30/08/2021 16:00:00,45.83
31/08/2021 16:00:00,45.61
01/09/2021 16:00:00,45.03
02/09/2021 16:00:00,41.94
03/09/2021 16:00:00,42.35
06/09/2021 16:00:00,42.19
07/09/2021 16:00:00,42.04
08/09/2021 16:00:00,41.61
09/09/2021 16:00:00,40.92
10/09/2021 16:00:00,41.25
13/09/2021 16:00:00,41.48
14/09/2021 16:00:00,41.73
15/09/2021 16:00:00,40.26
16/09/2021 16:00:00,40.65
17/09/2021 16:00:00,39.16
20/09/2021 16:00:00,37.53
21/09/2021 16:00:00,37.75
22/09/2021 16:00:00,38.66
23/09/2021 16:00:00,38.38
24/09/2021 16:00:00,37.72
27/09/2021 16:00:00,37.72
28/09/2021 16:00:00,36.87
29/09/2021 16:00:00,36.39
30/09/2021 16:00:00,37.61
01/10/2021 16:00:00,36.85
04/10/2021 16:00:00,36.94
05/10/2021 16:00:00,36.52
06/10/2021 16:00:00,36.65
07/10/2021 16:00:00,36.64
08/10/2021 16:00:00,37.74
11/10/2021 16:00:00,38.08
12/10/2021 16:00:00,37.98
13/10/2021 16:00:00,37.59
14/10/2021 16:00:00,37.8
15/10/2021 16:00:00,38.86
18/10/2021 16:00:00,39.19
19/10/2021 16:00:00,38.39
20/10/2021 16:00:00,38.57
21/10/2021 16:00:00,38.48
22/10/2021 16:00:00,37.65
25/10/2021 16:00:00,37.93
26/10/2021 16:00:00,38.21
27/10/2021 16:00:00,37.66
28/10/2021 16:00:00,37.02
29/10/2021 16:00:00,36.58
01/11/2021 16:00:00,36.41
02/11/2021 16:00:00,35.56
03/11/2021 16:00:00,35.94
04/11/2021 16:00:00,36.03
05/11/2021 16:00:00,36.09
08/11/2021 16:00:00,36.38
09/11/2021 16:00:00,36.73
10/11/2021 16:00:00,35.74
11/11/2021 16:00:00,36.66
12/11/2021 16:00:00,37.7
15/11/2021 16:00:00,37.46
16/11/2021 16:00:00,36.49
17/11/2021 16:00:00,35.96
18/11/2021 16:00:00,36.04
19/11/2021 16:00:00,36.45
22/11/2021 16:00:00,36.58
23/11/2021 16:00:00,38.05
24/11/2021 16:00:00,38.24
25/11/2021 16:00:00,38.62
26/11/2021 16:00:00,38.03
29/11/2021 16:00:00,38.57
30/11/2021 16:00:00,39.37
01/12/2021 16:00:00,39.9
02/12/2021 16:00:00,39.71
03/12/2021 16:00:00,40.23
06/12/2021 16:00:00,39.59
07/12/2021 16:00:00,39.95
08/12/2021 16:00:00,40.69
09/12/2021 16:00:00,40.2
10/12/2021 16:00:00,39.96
13/12/2021 16:00:00,41.04
14/12/2021 16:00:00,41.28
15/12/2021 16:00:00,41.07
16/12/2021 16:00:00,40.66
17/12/2021 16:00:00,41.4
20/12/2021 16:00:00,41.1
21/12/2021 16:00:00,41.71
22/12/2021 16:00:00,41.39
23/12/2021 16:00:00,41.26
24/12/2021 14:10:00,41.32
29/12/2021 16:00:00,41.33
30/12/2021 16:00:00,41.68
31/12/2021 14:10:00,41.5
