Date,Close
02/01/2018 16:00:00,29.68
03/01/2018 16:00:00,30.18
04/01/2018 16:00:00,30.33
05/01/2018 16:00:00,30.58
08/01/2018 16:00:00,30.55
09/01/2018 16:00:00,31.06
10/01/2018 16:00:00,30.96
11/01/2018 16:00:00,30.84
12/01/2018 16:00:00,31.53
15/01/2018 16:00:00,31.9
16/01/2018 16:00:00,31.66
17/01/2018 16:00:00,30.74
18/01/2018 16:00:00,30.78
19/01/2018 16:00:00,30.69
22/01/2018 16:00:00,30.78
23/01/2018 16:00:00,30.79
24/01/2018 16:00:00,30.68
25/01/2018 16:00:00,30.85
29/01/2018 16:00:00,30.73
30/01/2018 16:00:00,30.34
31/01/2018 16:00:00,30.2
01/02/2018 16:00:00,30.66
02/02/2018 16:00:00,30.81
05/02/2018 16:00:00,30.15
06/02/2018 16:00:00,29.33
07/02/2018 16:00:00,29.86
08/02/2018 16:00:00,29.45
09/02/2018 16:00:00,29.13
12/02/2018 16:00:00,29.56
13/02/2018 16:00:00,29.9
14/02/2018 16:00:00,30.02
15/02/2018 16:00:00,31.39
16/02/2018 16:00:00,31.52
19/02/2018 16:00:00,31.43
20/02/2018 16:00:00,31.3
21/02/2018 16:00:00,29.81
22/02/2018 16:00:00,30.2
23/02/2018 16:00:00,30.68
26/02/2018 16:00:00,30.86
27/02/2018 16:00:00,31.11
28/02/2018 16:00:00,30.5
01/03/2018 16:00:00,30.1
02/03/2018 16:00:00,29.63
05/03/2018 16:00:00,29.11
06/03/2018 16:00:00,29.72
07/03/2018 16:00:00,29.42
08/03/2018 16:00:00,28.82
09/03/2018 16:00:00,28.32
12/03/2018 16:00:00,28.91
13/03/2018 16:00:00,28.67
14/03/2018 16:00:00,28.64
15/03/2018 16:00:00,28.86
16/03/2018 16:00:00,29.16
19/03/2018 16:00:00,29.23
20/03/2018 16:00:00,28.67
21/03/2018 16:00:00,28.92
22/03/2018 16:00:00,29.7
23/03/2018 16:00:00,28.77
26/03/2018 16:00:00,28.6
27/03/2018 16:00:00,28.99
28/03/2018 16:00:00,28.67
29/03/2018 16:00:00,28.21
03/04/2018 16:00:00,28.71
04/04/2018 16:00:00,28.71
05/04/2018 16:00:00,28.51
06/04/2018 16:00:00,28.64
09/04/2018 16:00:00,28.66
10/04/2018 16:00:00,28.88
11/04/2018 16:00:00,29.44
12/04/2018 16:00:00,29.64
13/04/2018 16:00:00,29.73
16/04/2018 16:00:00,29.98
17/04/2018 16:00:00,29.93
18/04/2018 16:00:00,30.07
19/04/2018 16:00:00,30.92
20/04/2018 16:00:00,30.86
23/04/2018 16:00:00,31.23
24/04/2018 16:00:00,31.27
26/04/2018 16:00:00,31.03
27/04/2018 16:00:00,31.11
30/04/2018 16:00:00,30.95
01/05/2018 16:00:00,31.25
02/05/2018 16:00:00,31.2
03/05/2018 16:00:00,31.52
04/05/2018 16:00:00,31.49
07/05/2018 16:00:00,31.95
08/05/2018 16:00:00,31.81
09/05/2018 16:00:00,32.19
10/05/2018 16:00:00,32.75
11/05/2018 16:00:00,33.16
14/05/2018 16:00:00,33.79
15/05/2018 16:00:00,33.55
16/05/2018 16:00:00,34.01
17/05/2018 16:00:00,34.44
18/05/2018 16:00:00,34.08
21/05/2018 16:00:00,33.94
22/05/2018 16:00:00,33.71
23/05/2018 16:00:00,33.88
24/05/2018 16:00:00,33.91
25/05/2018 16:00:00,33.07
28/05/2018 16:00:00,32.11
29/05/2018 16:00:00,32.28
30/05/2018 16:00:00,32.2
31/05/2018 16:00:00,32.79
01/06/2018 16:00:00,33.08
04/06/2018 16:00:00,33.2
05/06/2018 16:00:00,32.74
06/06/2018 16:00:00,33.39
07/06/2018 16:00:00,34.08
08/06/2018 16:00:00,34.07
12/06/2018 16:00:00,33.69
13/06/2018 16:00:00,33.25
14/06/2018 16:00:00,33.38
15/06/2018 16:00:00,33.56
18/06/2018 16:00:00,32.76
19/06/2018 16:00:00,32.36
20/06/2018 16:00:00,32.6
21/06/2018 16:00:00,32.76
22/06/2018 16:00:00,32.52
25/06/2018 16:00:00,32.98
26/06/2018 16:00:00,32.64
27/06/2018 16:00:00,33.23
28/06/2018 16:00:00,33.82
29/06/2018 16:00:00,33.91
02/07/2018 16:00:00,33.6
03/07/2018 16:00:00,33.05
04/07/2018 16:00:00,33.05
05/07/2018 16:00:00,32.87
06/07/2018 16:00:00,33.15
09/07/2018 16:00:00,33.86
10/07/2018 16:00:00,34.23
11/07/2018 16:00:00,33.78
12/07/2018 16:00:00,33.57
13/07/2018 16:00:00,33.33
16/07/2018 16:00:00,33.07
17/07/2018 16:00:00,32.5
18/07/2018 16:00:00,33.57
19/07/2018 16:00:00,33.61
20/07/2018 16:00:00,32.91
23/07/2018 16:00:00,32.45
24/07/2018 16:00:00,33.01
25/07/2018 16:00:00,33.75
26/07/2018 16:00:00,33.64
27/07/2018 16:00:00,34.4
30/07/2018 16:00:00,34.19
31/07/2018 16:00:00,34.86
01/08/2018 16:00:00,35.08
