Date,Close
02/01/2018 16:00:00,76.5
03/01/2018 16:00:00,78.19
04/01/2018 16:00:00,77.85
05/01/2018 16:00:00,78.25
08/01/2018 16:00:00,78.04
09/01/2018 16:00:00,79.87
10/01/2018 16:00:00,79.26
11/01/2018 16:00:00,79.25
12/01/2018 16:00:00,80.62
15/01/2018 16:00:00,81.8
16/01/2018 16:00:00,81.26
17/01/2018 16:00:00,78.45
18/01/2018 16:00:00,78.83
19/01/2018 16:00:00,78.01
22/01/2018 16:00:00,78.15
23/01/2018 16:00:00,78.51
24/01/2018 16:00:00,78.2
25/01/2018 16:00:00,78.81
29/01/2018 16:00:00,79.08
30/01/2018 16:00:00,78.56
31/01/2018 16:00:00,76.85
01/02/2018 16:00:00,77.7
02/02/2018 16:00:00,78.25
05/02/2018 16:00:00,76.5
06/02/2018 16:00:00,75.43
07/02/2018 16:00:00,78.31
08/02/2018 16:00:00,77.54
09/02/2018 16:00:00,76.86
12/02/2018 16:00:00,78
13/02/2018 16:00:00,78.87
14/02/2018 16:00:00,78.89
15/02/2018 16:00:00,82.09
16/02/2018 16:00:00,82.48
19/02/2018 16:00:00,82
20/02/2018 16:00:00,81.6
21/02/2018 16:00:00,80.26
22/02/2018 16:00:00,80.12
23/02/2018 16:00:00,80.85
26/02/2018 16:00:00,80.6
27/02/2018 16:00:00,81.61
28/02/2018 16:00:00,81.16
01/03/2018 16:00:00,77.85
02/03/2018 16:00:00,76.86
05/03/2018 16:00:00,75.73
06/03/2018 16:00:00,76.09
07/03/2018 16:00:00,75.34
08/03/2018 16:00:00,75.81
09/03/2018 16:00:00,73.8
12/03/2018 16:00:00,75.48
13/03/2018 16:00:00,74
14/03/2018 16:00:00,74.6
15/03/2018 16:00:00,76.06
16/03/2018 16:00:00,76.62
19/03/2018 16:00:00,76.64
20/03/2018 16:00:00,75.23
21/03/2018 16:00:00,75.23
22/03/2018 16:00:00,76.78
23/03/2018 16:00:00,73.44
26/03/2018 16:00:00,73.32
27/03/2018 16:00:00,74.16
28/03/2018 16:00:00,73.39
29/03/2018 16:00:00,72.7
03/04/2018 16:00:00,74.19
04/04/2018 16:00:00,74.18
05/04/2018 16:00:00,73.3
06/04/2018 16:00:00,73.22
09/04/2018 16:00:00,73.47
10/04/2018 16:00:00,75.5
11/04/2018 16:00:00,76.5
12/04/2018 16:00:00,76.7
13/04/2018 16:00:00,78.21
16/04/2018 16:00:00,77.96
17/04/2018 16:00:00,78.09
18/04/2018 16:00:00,78.96
19/04/2018 16:00:00,81.42
20/04/2018 16:00:00,80.53
23/04/2018 16:00:00,81.66
24/04/2018 16:00:00,79.52
26/04/2018 16:00:00,79.4
27/04/2018 16:00:00,79.65
30/04/2018 16:00:00,79.86
01/05/2018 16:00:00,79.7
02/05/2018 16:00:00,80.01
03/05/2018 16:00:00,81.37
04/05/2018 16:00:00,80.94
07/05/2018 16:00:00,81
08/05/2018 16:00:00,81.1
09/05/2018 16:00:00,81.67
10/05/2018 16:00:00,82.95
11/05/2018 16:00:00,83.88
14/05/2018 16:00:00,84.5
15/05/2018 16:00:00,83.61
16/05/2018 16:00:00,84.68
17/05/2018 16:00:00,86.75
18/05/2018 16:00:00,85.81
21/05/2018 16:00:00,85
22/05/2018 16:00:00,84.6
23/05/2018 16:00:00,84.76
24/05/2018 16:00:00,83.91
25/05/2018 16:00:00,83.17
28/05/2018 16:00:00,83.12
29/05/2018 16:00:00,83
30/05/2018 16:00:00,82.02
31/05/2018 16:00:00,82.97
01/06/2018 16:00:00,82.5
04/06/2018 16:00:00,83.1
05/06/2018 16:00:00,81.95
06/06/2018 16:00:00,84.01
07/06/2018 16:00:00,85.97
08/06/2018 16:00:00,86.6
12/06/2018 16:00:00,85.1
13/06/2018 16:00:00,84.11
14/06/2018 16:00:00,84.62
15/06/2018 16:00:00,85.7
18/06/2018 16:00:00,84.01
19/06/2018 16:00:00,82.14
20/06/2018 16:00:00,82.75
21/06/2018 16:00:00,83.1
22/06/2018 16:00:00,82.46
25/06/2018 16:00:00,83.25
26/06/2018 16:00:00,81.73
27/06/2018 16:00:00,82.08
28/06/2018 16:00:00,83.07
29/06/2018 16:00:00,83.44
02/07/2018 16:00:00,83.3
03/07/2018 16:00:00,80.8
04/07/2018 16:00:00,80.13
05/07/2018 16:00:00,79.21
06/07/2018 16:00:00,79.76
09/07/2018 16:00:00,80.91
10/07/2018 16:00:00,81.62
11/07/2018 16:00:00,80.16
12/07/2018 16:00:00,79.95
13/07/2018 16:00:00,79.84
16/07/2018 16:00:00,79.41
17/07/2018 16:00:00,79.16
18/07/2018 16:00:00,79.51
19/07/2018 16:00:00,80.62
20/07/2018 16:00:00,80.08
23/07/2018 16:00:00,79.88
24/07/2018 16:00:00,80.9
25/07/2018 16:00:00,82.1
26/07/2018 16:00:00,81.01
27/07/2018 16:00:00,81.38
30/07/2018 16:00:00,80.45
31/07/2018 16:00:00,81.2
01/08/2018 16:00:00,81.65
02/08/2018 16:00:00,77.65
03/08/2018 16:00:00,76.54
06/08/2018 16:00:00,77.02
07/08/2018 16:00:00,76.4
08/08/2018 16:00:00,77.19
09/08/2018 16:00:00,75.94
10/08/2018 16:00:00,75.37
13/08/2018 16:00:00,74.2
14/08/2018 16:00:00,74.28
15/08/2018 16:00:00,73.75
16/08/2018 16:00:00,72.92
17/08/2018 16:00:00,73.12
20/08/2018 16:00:00,73.35
21/08/2018 16:00:00,73
22/08/2018 16:00:00,71.69
23/08/2018 16:00:00,71.98
24/08/2018 16:00:00,71.93
27/08/2018 16:00:00,72.78
28/08/2018 16:00:00,73.48
29/08/2018 16:00:00,73.62
30/08/2018 16:00:00,73.14
31/08/2018 16:00:00,72.74
03/09/2018 16:00:00,71.77
04/09/2018 16:00:00,71.4
05/09/2018 16:00:00,69.68
06/09/2018 16:00:00,70.3
07/09/2018 16:00:00,71.5
10/09/2018 16:00:00,70.95
11/09/2018 16:00:00,71.32
12/09/2018 16:00:00,71.06
13/09/2018 16:00:00,72.27
14/09/2018 16:00:00,73.15
17/09/2018 16:00:00,73.01
18/09/2018 16:00:00,73.16
19/09/2018 16:00:00,75.4
20/09/2018 16:00:00,78.1
21/09/2018 16:00:00,79.49
24/09/2018 16:00:00,78.52
25/09/2018 16:00:00,79.11
26/09/2018 16:00:00,80.03
27/09/2018 16:00:00,79.23
28/09/2018 16:00:00,78.76
01/10/2018 16:00:00,78.65
02/10/2018 16:00:00,78.07
03/10/2018 16:00:00,79.5
04/10/2018 16:00:00,79.95
05/10/2018 16:00:00,80.06
08/10/2018 16:00:00,78.76
09/10/2018 16:00:00,78.71
10/10/2018 16:00:00,79.17
11/10/2018 16:00:00,76.61
12/10/2018 16:00:00,78.03
15/10/2018 16:00:00,77.5
16/10/2018 16:00:00,78.7
17/10/2018 16:00:00,78.51
18/10/2018 16:00:00,78.79
19/10/2018 16:00:00,77.45
22/10/2018 16:00:00,78.28
23/10/2018 16:00:00,77.67
24/10/2018 16:00:00,77
25/10/2018 16:00:00,73.52
26/10/2018 16:00:00,74.16
29/10/2018 16:00:00,74.7
30/10/2018 16:00:00,76.5
31/10/2018 16:00:00,76.4
01/11/2018 16:00:00,78
02/11/2018 16:00:00,78.37
05/11/2018 16:00:00,79.61
06/11/2018 16:00:00,81.25
07/11/2018 16:00:00,81.25
08/11/2018 16:00:00,81.48
09/11/2018 16:00:00,81.23
12/11/2018 16:00:00,82.58
13/11/2018 16:00:00,80.51
14/11/2018 16:00:00,78.44
15/11/2018 16:00:00,77.84
16/11/2018 16:00:00,79.31
19/11/2018 16:00:00,79.44
20/11/2018 16:00:00,79.88
21/11/2018 16:00:00,77.3
22/11/2018 16:00:00,77.02
23/11/2018 16:00:00,76.78
26/11/2018 16:00:00,74.05
27/11/2018 16:00:00,73.6
28/11/2018 16:00:00,72
29/11/2018 16:00:00,73.25
30/11/2018 16:00:00,73.28
03/12/2018 16:00:00,74.99
04/12/2018 16:00:00,73.51
05/12/2018 16:00:00,73.71
06/12/2018 16:00:00,72.21
07/12/2018 16:00:00,72.32
10/12/2018 16:00:00,71.95
11/12/2018 16:00:00,72.88
12/12/2018 16:00:00,74.1
13/12/2018 16:00:00,75.69
14/12/2018 16:00:00,74.57
17/12/2018 16:00:00,76.17
18/12/2018 16:00:00,76.05
19/12/2018 16:00:00,76.6
20/12/2018 16:00:00,75.11
21/12/2018 16:00:00,75.66
24/12/2018 14:10:00,77.22
27/12/2018 16:00:00,77.66
28/12/2018 16:00:00,78.08
31/12/2018 14:10:00,78.47
02/01/2019 16:00:00,76.65
03/01/2019 16:00:00,76.65
04/01/2019 16:00:00,76.83
07/01/2019 16:00:00,78.9
08/01/2019 16:00:00,79.3
09/01/2019 16:00:00,80.02
10/01/2019 16:00:00,80.13
11/01/2019 16:00:00,79.65
14/01/2019 16:00:00,79.4
15/01/2019 16:00:00,80
16/01/2019 16:00:00,79.64
17/01/2019 16:00:00,80.4
18/01/2019 16:00:00,80.65
21/01/2019 16:00:00,80.51
22/01/2019 16:00:00,80.01
23/01/2019 16:00:00,79.6
24/01/2019 16:00:00,79.6
25/01/2019 16:00:00,80.47
29/01/2019 16:00:00,83.53
30/01/2019 16:00:00,87.3
31/01/2019 16:00:00,87.05
01/02/2019 16:00:00,87.57
04/02/2019 16:00:00,86.67
05/02/2019 16:00:00,89.26
06/02/2019 16:00:00,90.98
07/02/2019 16:00:00,92.2
08/02/2019 16:00:00,90.57
11/02/2019 16:00:00,92.2
12/02/2019 16:00:00,92.02
13/02/2019 16:00:00,91.06
14/02/2019 16:00:00,91.9
15/02/2019 16:00:00,91.3
18/02/2019 16:00:00,92.6
19/02/2019 16:00:00,92.52
20/02/2019 16:00:00,94.94
21/02/2019 16:00:00,94.69
22/02/2019 16:00:00,94.7
25/02/2019 16:00:00,95.13
26/02/2019 16:00:00,94.56
27/02/2019 16:00:00,95.12
28/02/2019 16:00:00,96.16
01/03/2019 16:00:00,94.92
04/03/2019 16:00:00,96.43
05/03/2019 16:00:00,95.61
06/03/2019 16:00:00,96.65
07/03/2019 16:00:00,92.05
08/03/2019 16:00:00,90.6
11/03/2019 16:00:00,90.1
12/03/2019 16:00:00,91.79
13/03/2019 16:00:00,90.65
14/03/2019 16:00:00,92.03
15/03/2019 16:00:00,91.65
18/03/2019 16:00:00,93.32
19/03/2019 16:00:00,94.75
20/03/2019 16:00:00,92.09
21/03/2019 16:00:00,93.5
