Date,Close
02/01/2018 16:00:00,80.22
03/01/2018 16:00:00,80.14
04/01/2018 16:00:00,79.97
05/01/2018 16:00:00,81.16
08/01/2018 16:00:00,81.62
09/01/2018 16:00:00,82.19
10/01/2018 16:00:00,81.61
11/01/2018 16:00:00,81.3
12/01/2018 16:00:00,80.88
15/01/2018 16:00:00,81.17
16/01/2018 16:00:00,80.58
17/01/2018 16:00:00,80.11
18/01/2018 16:00:00,79.9
19/01/2018 16:00:00,79.83
22/01/2018 16:00:00,78.85
23/01/2018 16:00:00,79.25
24/01/2018 16:00:00,78.65
25/01/2018 16:00:00,78.65
29/01/2018 16:00:00,79.19
30/01/2018 16:00:00,79.09
31/01/2018 16:00:00,78.87
01/02/2018 16:00:00,80.01
02/02/2018 16:00:00,80.79
05/02/2018 16:00:00,79.8
06/02/2018 16:00:00,77.4
07/02/2018 16:00:00,76.79
08/02/2018 16:00:00,76.51
09/02/2018 16:00:00,76.25
12/02/2018 16:00:00,75.88
13/02/2018 16:00:00,76.3
14/02/2018 16:00:00,73.98
15/02/2018 16:00:00,73.86
16/02/2018 16:00:00,74.02
19/02/2018 16:00:00,74.4
20/02/2018 16:00:00,74.26
21/02/2018 16:00:00,74.33
22/02/2018 16:00:00,74.65
23/02/2018 16:00:00,75.46
26/02/2018 16:00:00,76.6
27/02/2018 16:00:00,76.76
28/02/2018 16:00:00,76.39
01/03/2018 16:00:00,76.06
02/03/2018 16:00:00,75.73
05/03/2018 16:00:00,75.03
06/03/2018 16:00:00,75.69
07/03/2018 16:00:00,75.14
08/03/2018 16:00:00,76.17
09/03/2018 16:00:00,76.87
12/03/2018 16:00:00,77.36
13/03/2018 16:00:00,77.05
14/03/2018 16:00:00,76.55
15/03/2018 16:00:00,75.78
16/03/2018 16:00:00,75.34
19/03/2018 16:00:00,74.89
20/03/2018 16:00:00,75.19
21/03/2018 16:00:00,75.78
22/03/2018 16:00:00,74.87
23/03/2018 16:00:00,72.81
26/03/2018 16:00:00,72.02
27/03/2018 16:00:00,72.43
28/03/2018 16:00:00,71.86
29/03/2018 16:00:00,72.31
03/04/2018 16:00:00,72.26
04/04/2018 16:00:00,72.8
05/04/2018 16:00:00,73.8
06/04/2018 16:00:00,73.49
09/04/2018 16:00:00,73.55
10/04/2018 16:00:00,74.36
11/04/2018 16:00:00,73.64
12/04/2018 16:00:00,73.09
13/04/2018 16:00:00,73.16
16/04/2018 16:00:00,72.62
17/04/2018 16:00:00,72.76
18/04/2018 16:00:00,72.41
19/04/2018 16:00:00,72.4
20/04/2018 16:00:00,72.06
23/04/2018 16:00:00,72.67
24/04/2018 16:00:00,73.46
26/04/2018 16:00:00,72.25
27/04/2018 16:00:00,71.54
30/04/2018 16:00:00,71.82
01/05/2018 16:00:00,73.17
